['INFO ]2023-05-16 15:03:54,594(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter getchromedriver
['INFO ]2023-05-16 15:04:09,490(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
['INFO ]2023-05-16 15:04:09,583(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:09,630(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-User Enter username as " nitha "and Password as " nithasdet109" 
['INFO ]2023-05-16 15:04:09,906(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:09,906(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-User clicks on login button
['INFO ]2023-05-16 15:04:09,906(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Expected Message - Excel Sheet :  You are logged in
['INFO ]2023-05-16 15:04:10,283(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:10,529(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:10,760(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:11,876(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:11,997(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:12,093(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:12,128(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:12,219(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:12,562(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:12,598(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:12,674(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:12,747(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:12,876(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:13,125(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:13,222(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:13,238(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
['INFO ]2023-05-16 15:04:14,177(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays
['INFO ]2023-05-16 15:04:14,177(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:14,666(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:14,899(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,018(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,081(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,107(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:15,208(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,457(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,486(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:15,564(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,630(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:15,741(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:16,009(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:16,235(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:16,400(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:16,484(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:16,518(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:16,601(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:16,847(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,040(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,074(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:17,156(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,237(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,349(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,651(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,863(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:17,990(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,072(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,101(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:18,194(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,424(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,637(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,664(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:18,750(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,819(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:18,934(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:19,184(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:19,391(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:19,504(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:19,589(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:19,618(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:19,697(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:19,941(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:20,175(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:20,203(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:20,284(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:20,348(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:20,451(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:20,655(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,068(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,170(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,288(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,375(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,413(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:21,530(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,812(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,912(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:21,941(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:22,038(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,109(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,221(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,610(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,728(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,831(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,904(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:22,933(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:23,042(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:23,298(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:23,404(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:23,434(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:23,545(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:23,619(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:23,768(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,116(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,227(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,338(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,413(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,437(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:24,529(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,781(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,917(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:24,939(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:25,019(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,091(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,205(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,489(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,600(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,703(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,771(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:25,796(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays valid output= Hello
['INFO ]2023-05-16 15:04:25,890(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,131(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,238(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,257(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Arrays invalid output= 
['INFO ]2023-05-16 15:04:26,329(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,403(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,520(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,538(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-current page :https://dsportalapp.herokuapp.com/login
['INFO ]2023-05-16 15:04:26,669(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:26,979(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:27,315(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:27,339(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-In HomePage
['INFO ]2023-05-16 15:04:27,340(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:27,340(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter dropdownclk
['INFO ]2023-05-16 15:04:27,413(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-Dropdown got clicked
['INFO ]2023-05-16 15:04:27,654(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:27,656(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-user is in Linked list page
['INFO ]2023-05-16 15:04:27,657(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
['INFO ]2023-05-16 15:04:27,892(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-introduction link got clicked
['INFO ]2023-05-16 15:04:27,893(yyyy-MM-ddHH:mm:ss.SSS][main]utils.LoggerLoad1)-enter after hook
